Computer 1656;Production;Operational;DELL;Precision T5820;Standard workstations;LEITNER SPA;ITA-VIPITENO;01/01/2018;01/01/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 1657;Production;Operational;DELL;Precision T5820;Standard workstations;LEITNER SPA;ITA-BOLZANO;01/01/2018;01/01/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 1658;Production;Operational;DELL;Precision T5820;Standard workstations;LEITNER SPA;ITA-VIPITENO;01/01/2018;01/01/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 1659;Production;Operational;DELL;Precision T5820;Standard workstations;DEMACLENKO;ITA-VIPITENO;01/01/2018;01/01/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 1660;Production;Operational;DELL;Precision T5820;Standard workstations;LEITNER SPA;ITA-BOLZANO;01/01/2018;01/01/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 1661;Production;Operational;DELL;Precision T5820;Standard workstations;DEMACLENKO;ITA-SELVA;01/01/2018;01/01/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 1663;Production;Operational;DELL;Precision T5820;Standard workstations;LEITNER SPA;ITA-VIPITENO;01/01/2018;01/01/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 1664;Production;Operational;DELL;Precision T5820;Standard workstations;LEITNER SPA;ITA-BOLZANO;01/01/2018;01/01/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 1665;Production;Operational;DELL;Precision T5820;Standard workstations;LEITNER SPA;ITA-VIPITENO;01/01/2018;01/01/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 1666;Production;Operational;DELL;Precision T5820;Standard workstations;LEITNER SPA;ITA-VIPITENO;01/01/2018;01/01/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 1667;Production;Operational;DELL;Precision T5820;Standard workstations;LEITNER SPA;ITA-BOLZANO;01/01/2018;01/01/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 1668;Production;Operational;DELL;Precision T5820;Standard workstations;LEITNER SPA;ITA-TORINO;01/01/2018;01/01/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 1669;Production;Operational;DELL;Precision T5820;Standard workstations;LEITNER SPA;ITA-TORINO;01/01/2018;01/01/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 1670;Production;Operational;DELL;Precision T5820;Standard workstations;DEMACLENKO;ITA-SELVA;01/01/2018;01/01/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 1671;Production;Operational;DELL;Precision T5820;Standard workstations;LEITNER SPA;ITA-BOLZANO;01/01/2018;01/01/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 1672;Production;Operational;DELL;Precision T5820;Standard workstations;LEITNER SPA;ITA-BOLZANO;01/01/2018;01/01/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 1673;Production;Operational;DELL;Precision T5820;Standard workstations;LEITNER SPA;ITA-BOLZANO;01/01/2018;01/01/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 1675;Production;Operational;DELL;Precision T5820;Standard workstations;PRINOTH SPA;GER-HERDWANGEN;01/01/2018;01/01/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 1701;Production;Operational;DELL;Precision T5820;Standard workstations;DEMACLENKO;ITA-VIPITENO;01/01/2018;01/01/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 1702;Production;Operational;DELL;Precision T5820;Standard workstations;LEITNER SPA;AUT-TELFS;01/01/2018;01/01/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 1704;Production;Operational;DELL;Precision T5820;Standard workstations;DEMACLENKO;ITA-SELVA;01/01/2018;01/01/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 1705;Production;Operational;DELL;Precision T5820;Standard workstations;DEMACLENKO;ITA-VIPITENO;01/01/2018;01/01/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 1706;Production;Operational;DELL;Precision T5820;Standard workstations;LEITNER SPA;AUT-TELFS;01/01/2018;01/01/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 1707;Production;Operational;DELL;Precision T5820;Standard workstations;LEITNER SPA;ITA-VIPITENO;01/01/2018;01/01/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 1708;Production;Operational;DELL;Precision T5820;Standard workstations;LEITNER SPA;AUT-TELFS;01/01/2018;01/01/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
